#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,20,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_guest,cpu,cpu1,phoenix
,,20,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_guest,cpu,cpu1,phoenix
,,21,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,21,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_guest_nice,cpu,cpu1,phoenix
,,22,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,89.12175648703207,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,89.03420523138743,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,90.600000000004,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,85.78629032257305,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,78.20383451059651,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,92.38476953908474,usage_idle,cpu,cpu1,phoenix
,,23,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0.09980039920160845,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0.4024144869215,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0.20161290322581857,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0.30272452068617356,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0.20040080160321092,usage_iowait,cpu,cpu1,phoenix
,,24,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_irq,cpu,cpu1,phoenix
,,25,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0.6986027944112414,usage_nice,cpu,cpu1,phoenix
,,25,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,2.1126760563379285,usage_nice,cpu,cpu1,phoenix
,,25,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,1.3000000000000256,usage_nice,cpu,cpu1,phoenix
,,25,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,1.8145161290322418,usage_nice,cpu,cpu1,phoenix
,,25,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,1.0090817356205786,usage_nice,cpu,cpu1,phoenix
,,25,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0.5010020040080451,usage_nice,cpu,cpu1,phoenix
,,26,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_softirq,cpu,cpu1,phoenix
,,26,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_softirq,cpu,cpu1,phoenix
,,26,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0.0999999999999801,usage_softirq,cpu,cpu1,phoenix
,,26,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_softirq,cpu,cpu1,phoenix
